time_identifier,time_period,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_type,num_schools,headcount,perm_excl,perm_excl_rate,suspension,susp_rate,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,State-funded primary,56,20109,3,0.01492,522,2.59585,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,Special,4,330,1,0.30303,121,36.66667,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,State-funded primary,182,42354,13,0.03069,864,2.03995,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,State-funded secondary,13,13332,27,0.20252,3491,26.18512,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Total,71,31319,28,0.0894,3714,11.85862,,
Academic year,202122,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,State-funded primary,54,16667,12,0.072,185,1.10998,,
Academic year,202122,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,State-funded secondary,34,35670,4,0.01121,4267,11.96243,,
Academic year,202122,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,Special,3,439,0,0,15,3.41686,,
Academic year,202122,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,State-funded primary,39,18652,1,0.00536,166,0.88998,,
Academic year,202122,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,Total,417,117937,169,0.1433,9046,7.6702,,
Academic year,202122,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,Total,314,103881,147,0.14151,7920,7.62411,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,825,E06000060,Buckinghamshire,State-funded primary,187,45393,2,0.00441,720,1.58615,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,825,E06000060,Buckinghamshire,State-funded secondary,37,40980,13,0.03172,2668,6.51049,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,State-funded primary,89,27205,0,0,475,1.746,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,Total,66,31399,4,0.01274,1532,4.87914,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,Special,28,3244,0,0,794,24.47596,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,Special,6,820,0,0,108,13.17073,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,Special,2,372,0,0,39,10.48387,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,State-funded primary,28,17511,2,0.01142,182,1.03935,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,State-funded secondary,15,15207,23,0.15125,1042,6.85211,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,Special,26,5733,2,0.03489,550,9.59358,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,State-funded primary,459,129588,11,0.00849,1896,1.4631,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,Total,99,48821,38,0.07784,3840,7.86547,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,Total,386,161432,107,0.06628,7988,4.94821,,
Academic year,202122,Local authority,E92000001,England,E12000009,South West,420,E06000053,Isles of Scilly,Total,1,263,0,0,0,0,,
Academic year,202122,Local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,Special,3,529,1,0.18904,101,19.09263,,
Academic year,202122,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,State-funded primary,64,17093,2,0.0117,232,1.35728,,
Academic year,202122,Local authority,E92000001,England,E12000009,South West,838,E06000059,Dorset,Total,155,48445,24,0.04954,3250,6.70864,,
Academic year,202122,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,Total,86,36474,40,0.10967,2235,6.12765,,
Academic year,202122,Local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,State-funded primary,32,10514,9,0.0856,223,2.12098,,
Academic year,202122,Local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,State-funded secondary,8,9086,30,0.33018,1751,19.27141,,
Academic year,202122,Local authority,E92000001,England,E12000009,South West,908,E06000052,Cornwall,State-funded primary,237,43219,11,0.02545,687,1.58958,,
Academic year,202122,Local authority,E92000001,England,E12000009,South West,908,E06000052,Cornwall,State-funded secondary,31,30739,69,0.22447,3945,12.83386,,
Academic year,202122,Local authority,E92000001,England,E12000009,South West,933,E10000027,Somerset,State-funded primary,219,40254,12,0.02981,989,2.4569,,
Academic year,202122,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,Special,3,327,0,0,36,11.00917,,
Academic year,202122,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,State-funded secondary,10,10541,13,0.12333,789,7.48506,,
Academic year,202122,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,Total,53,21939,13,0.05926,893,4.07038,,
Academic year,202122,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,Special,3,454,0,0,7,1.54185,,
Academic year,202122,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,Total,53,20276,7,0.03452,1128,5.56323,,
Academic year,202122,Local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,Special,6,553,0,0,1,0.18083,,
Academic year,202122,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,State-funded primary,39,8881,0,0,102,1.14852,,
Academic year,202122,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,State-funded secondary,13,12771,4,0.03132,1160,9.08308,,
Academic year,202122,Local authority,E92000001,England,E13000001,Inner London,309,E09000014,Haringey,State-funded secondary,13,16134,5,0.03099,1698,10.52436,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,303,E09000004,Bexley,State-funded secondary,16,20561,26,0.12645,2378,11.56559,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,305,E09000006,Bromley,State-funded primary,76,27907,1,0.00358,228,0.817,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,306,E09000008,Croydon,Total,119,57390,15,0.02614,2945,5.13156,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,Total,90,54024,37,0.06849,1673,3.09677,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,310,E09000015,Harrow,State-funded secondary,13,16146,21,0.13006,867,5.36975,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,315,E09000024,Merton,State-funded primary,44,17231,0,0,119,0.69062,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,317,E09000026,Redbridge,Total,76,58201,35,0.06014,2232,3.83499,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,318,E09000027,Richmond upon Thames,Special,3,305,0,0,3,0.98361,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,319,E09000029,Sutton,State-funded primary,40,19030,5,0.02627,261,1.37152,,
Academic year,202122,Local authority,E92000001,England,E13000002,Outer London,319,E09000029,Sutton,State-funded secondary,15,21007,40,0.19041,1599,7.61175,,
Academic year,202122,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Special,2,322,0,0,0,0,,
Academic year,202122,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Total,39,15972,30,0.18783,1774,11.10694,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,State-funded secondary,10,11195,24,0.21438,1523,13.60429,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Total,68,27193,25,0.09194,1860,6.84,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,State-funded primary,64,17391,2,0.0115,135,0.77626,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Special,13,2014,0,0,107,5.31281,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Total,180,91471,71,0.07762,7291,7.97083,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Special,6,715,0,0,71,9.93007,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,State-funded primary,101,27472,7,0.02548,366,1.33227,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,State-funded primary,49,10367,3,0.02894,92,0.88743,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Total,62,19042,27,0.14179,940,4.93646,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Total,159,51432,43,0.08361,2573,5.00272,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,Special,6,678,0,0,5,0.73746,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,State-funded secondary,39,30988,72,0.23235,4111,13.26643,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,Total,90,35101,71,0.20227,4735,13.48964,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,Special,6,948,0,0,33,3.48101,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,State-funded primary,133,46962,10,0.02129,801,1.70563,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,Total,175,83479,92,0.11021,8682,10.40022,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,Total,203,100374,65,0.06476,10362,10.32339,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,State-funded primary,82,19049,10,0.0525,385,2.0211,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,Special,7,842,0,0,0,0,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,State-funded primary,222,74194,1,0.00135,806,1.08634,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,E06000011,East Riding of Yorkshire,Total,144,45548,36,0.07904,2547,5.5919,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,E06000012,North East Lincolnshire,Total,59,24118,25,0.10366,2025,8.39622,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,E06000014,York,State-funded secondary,9,11198,11,0.09823,1800,16.0743,,
Academic year,202122,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,State-funded primary,73,24571,5,0.02035,222,0.9035,,
Academic year,202122,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Special,8,1626,0,0,32,1.96802,,
Academic year,202122,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Special,7,1163,2,0.17197,23,1.97764,,
Academic year,202122,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,State-funded secondary,22,23263,16,0.06878,2497,10.73378,,
Academic year,202122,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Special,1,8,0,0,0,0,,
Academic year,202122,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,State-funded primary,17,2813,2,0.0711,18,0.63989,,
Academic year,202122,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,State-funded secondary,4,3100,7,0.22581,213,6.87097,,
Academic year,202122,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,State-funded primary,281,71974,5,0.00695,630,0.87532,,
Academic year,202122,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Special,6,690,0,0,136,19.71014,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Special,8,1170,1,0.08547,268,22.90598,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,State-funded secondary,22,24199,35,0.14463,3546,14.6535,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Total,115,58276,51,0.08751,4406,7.56057,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,State-funded primary,79,28655,6,0.02094,459,1.60181,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Total,105,47778,67,0.14023,3154,6.60136,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Special,5,717,0,0,75,10.46025,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Total,89,40610,56,0.1379,5209,12.82689,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Special,5,380,0,0,29,7.63158,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Special,10,1755,6,0.34188,152,8.66097,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,State-funded primary,194,46408,14,0.03017,992,2.13756,,
Academic year,202122,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Total,64,39650,18,0.0454,1746,4.40353,,
Academic year,202122,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Special,4,764,0,0,54,7.06806,,
Academic year,202122,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Special,5,705,2,0.28369,172,24.39716,,
Academic year,202122,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Total,50,30937,10,0.03232,1662,5.37221,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,Special,4,484,0,0,90,18.59504,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,State-funded primary,425,106256,2,0.00188,1803,1.69685,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,Total,61,27201,9,0.03309,1772,6.51447,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,State-funded secondary,7,8120,1,0.01232,1030,12.68473,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,State-funded primary,46,10485,2,0.01907,144,1.37339,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,Total,63,22486,28,0.12452,1093,4.8608,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,State-funded primary,54,16152,1,0.00619,85,0.52625,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,State-funded secondary,101,111308,17,0.01527,10220,9.18173,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,Special,5,990,0,0,112,11.31313,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,State-funded primary,38,8813,0,0,180,2.04244,,
Academic year,202122,Local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,State-funded secondary,57,65524,89,0.13583,6354,9.69721,,
